Result file;00-01.res
Reference image;img_0001.png
Strain gage;1
Small strain
Position X [pixel];Position Y [pixel]; Orientation; Length [pixel]; Width [pixel]
494.500000;1460.500000;90.000000;95.000000;55.000000
Filename;Step;Longitudinal strain [];Transverse strain [];Shear strain []
"img_0002.png";1;1.620e-05;6.712e-05;-1.036e-04
"img_0003.png";2;4.628e-05;1.302e-04;-7.985e-05
"img_0004.png";3;2.432e-05;1.748e-04;-1.332e-04
"img_0005.png";4;1.815e-04;3.803e-04;-1.094e-04
"img_0006.png";5;3.278e-04;4.031e-04;-1.311e-04
"img_0007.png";6;6.382e-04;3.590e-04;-8.188e-05
"img_0008.png";7;7.267e-04;2.544e-04;-1.076e-04
"img_0009.png";8;5.391e-04;1.888e-04;-1.169e-04
"img_0010.png";9;5.345e-04;1.584e-04;-1.295e-04
"img_0011.png";10;5.392e-04;2.713e-04;-9.427e-05
"img_0012.png";11;6.418e-04;3.016e-04;-9.765e-05
"img_0013.png";12;8.599e-04;2.620e-04;-8.706e-05
"img_0014.png";13;9.107e-04;3.050e-04;-1.077e-04
"img_0015.png";14;9.722e-04;2.444e-04;-1.159e-04
"img_0016.png";15;9.165e-04;2.109e-04;-1.676e-04
"img_0017.png";16;7.937e-04;1.129e-04;-1.975e-04
"img_0018.png";17;8.632e-04;2.267e-04;-1.451e-04
"img_0019.png";18;9.508e-04;2.316e-04;-1.407e-04
"img_0020.png";19;1.358e-03;2.525e-04;-3.644e-05
"img_0021.png";20;1.493e-03;2.633e-04;-2.137e-05
"img_0022.png";21;1.187e-03;1.621e-04;-7.285e-05
"img_0023.png";22;1.164e-03;1.094e-04;-1.400e-04
"img_0024.png";23;1.140e-03;2.482e-05;-1.491e-04
"img_0025.png";24;1.157e-03;-5.599e-05;-1.401e-04
"img_0026.png";25;1.274e-03;-4.011e-05;-1.088e-04
"img_0027.png";26;1.535e-03;7.217e-05;-3.296e-05
"img_0028.png";27;1.662e-03;1.634e-04;-3.220e-06
"img_0029.png";28;1.785e-03;2.030e-04;3.665e-05
"img_0030.png";29;1.563e-03;4.088e-05;1.820e-06
"img_0031.png";30;1.435e-03;1.584e-05;-7.343e-05
"img_0032.png";31;1.395e-03;5.810e-05;-1.346e-04
"img_0033.png";32;1.373e-03;5.328e-05;-9.099e-05
"img_0034.png";33;1.513e-03;1.758e-04;-1.469e-04
"img_0035.png";34;1.874e-03;1.665e-04;-5.488e-05
"img_0036.png";35;2.126e-03;3.810e-05;5.966e-05
"img_0037.png";36;1.956e-03;-1.448e-04;7.937e-05
"img_0038.png";37;1.519e-03;-1.835e-04;1.641e-06
"img_0039.png";38;1.497e-03;-2.132e-05;1.219e-05
"img_0040.png";39;1.583e-03;5.533e-05;-2.268e-05
"img_0041.png";40;1.804e-03;-9.752e-05;-8.806e-05
"img_0042.png";41;1.975e-03;-2.976e-04;1.215e-05
"img_0043.png";42;1.635e-03;-3.210e-04;-2.224e-04
"img_0044.png";43;1.366e-03;-1.482e-04;-1.852e-04
"img_0045.png";44;1.559e-03;-6.317e-05;-2.611e-05
"img_0046.png";45;1.656e-03;-3.113e-04;7.766e-05
"img_0047.png";46;1.405e-03;-5.361e-04;-7.534e-06
"img_0048.png";47;1.634e-03;-5.171e-04;-1.089e-05
"img_0049.png";48;2.497e-03;-4.045e-04;3.705e-04
"img_0050.png";49;3.778e-03;-3.212e-04;6.383e-04
"img_0051.png";50;4.759e-03;-4.743e-04;3.816e-04
"img_0052.png";51;5.673e-03;-8.017e-04;3.005e-04
"img_0053.png";52;7.319e-03;-9.896e-04;4.595e-04
"img_0054.png";53;9.275e-03;-1.057e-03;4.918e-04
"img_0055.png";54;1.143e-02;-1.113e-03;5.009e-04
"img_0056.png";55;1.398e-02;-1.489e-03;7.594e-04
"img_0057.png";56;1.649e-02;-2.150e-03;1.086e-03
"img_0058.png";57;1.886e-02;-2.629e-03;1.087e-03
"img_0059.png";58;2.105e-02;-3.210e-03;1.158e-03
"img_0060.png";59;2.346e-02;-3.716e-03;1.269e-03
"img_0061.png";60;2.617e-02;-4.468e-03;1.342e-03
"img_0062.png";61;2.816e-02;-5.038e-03;1.211e-03
"img_0063.png";62;3.010e-02;-5.702e-03;1.247e-03
"img_0064.png";63;3.204e-02;-6.562e-03;1.234e-03
"img_0065.png";64;3.443e-02;-7.416e-03;1.297e-03
"img_0066.png";65;3.604e-02;-8.247e-03;1.339e-03
"img_0067.png";66;3.786e-02;-8.925e-03;1.573e-03
"img_0068.png";67;3.976e-02;-9.644e-03;1.553e-03
"img_0069.png";68;4.171e-02;-1.015e-02;1.519e-03
"img_0070.png";69;4.335e-02;-1.056e-02;1.576e-03
"img_0071.png";70;4.469e-02;-1.096e-02;1.617e-03
"img_0072.png";71;4.615e-02;-1.122e-02;1.604e-03
"img_0073.png";72;4.790e-02;-1.149e-02;1.487e-03
"img_0074.png";73;4.907e-02;-1.172e-02;1.501e-03
"img_0075.png";74;4.967e-02;-1.203e-02;1.511e-03
"img_0076.png";75;4.999e-02;-1.227e-02;1.500e-03
"img_0077.png";76;5.030e-02;-1.262e-02;1.431e-03
"img_0078.png";77;5.047e-02;-1.268e-02;1.471e-03
"img_0079.png";78;5.070e-02;-1.293e-02;1.460e-03
"img_0080.png";79;5.107e-02;-1.309e-02;1.446e-03
"img_0081.png";80;5.131e-02;-1.333e-02;1.435e-03
"img_0082.png";81;5.177e-02;-1.342e-02;1.434e-03
"img_0083.png";82;5.208e-02;-1.361e-02;1.339e-03
"img_0084.png";83;5.235e-02;-1.380e-02;1.335e-03
"img_0085.png";84;5.255e-02;-1.388e-02;1.277e-03
