Result file;00-01.res
Reference image;img_0001.png
Strain gage;7
Small strain
Position X [pixel];Position Y [pixel]; Orientation; Length [pixel]; Width [pixel]
509.500000;984.500000;90.000000;109.000000;57.000000
Filename;Step;Longitudinal strain [];Transverse strain [];Shear strain []
"img_0002.png";1;3.600e-05;1.141e-05;-5.713e-05
"img_0003.png";2;4.999e-05;2.067e-04;-1.258e-04
"img_0004.png";3;1.170e-04;2.005e-04;-4.632e-05
"img_0005.png";4;1.825e-04;2.159e-04;-1.494e-06
"img_0006.png";5;1.568e-04;1.120e-04;1.763e-05
"img_0007.png";6;1.591e-04;-1.802e-04;8.390e-06
"img_0008.png";7;1.836e-04;2.999e-06;-2.217e-05
"img_0009.png";8;2.396e-04;3.311e-05;-1.096e-04
"img_0010.png";9;2.720e-04;1.950e-04;-9.903e-05
"img_0011.png";10;4.567e-04;2.073e-04;4.280e-05
"img_0012.png";11;4.812e-04;1.695e-04;1.931e-05
"img_0013.png";12;4.185e-04;3.638e-05;-1.598e-05
"img_0014.png";13;3.181e-04;-1.329e-04;8.850e-06
"img_0015.png";14;4.176e-04;-1.118e-04;-6.317e-05
"img_0016.png";15;4.744e-04;1.361e-05;-1.087e-04
"img_0017.png";16;6.694e-04;4.751e-05;-2.871e-05
"img_0018.png";17;7.251e-04;9.977e-06;5.206e-05
"img_0019.png";18;6.550e-04;-5.273e-05;8.529e-05
"img_0020.png";19;6.388e-04;-6.778e-05;-1.259e-05
"img_0021.png";20;6.181e-04;-9.726e-05;3.322e-06
"img_0022.png";21;6.413e-04;-1.237e-04;-4.470e-06
"img_0023.png";22;8.128e-04;-1.572e-04;6.002e-05
"img_0024.png";23;1.021e-03;-1.113e-04;5.370e-05
"img_0025.png";24;1.022e-03;-1.229e-04;1.008e-04
"img_0026.png";25;8.047e-04;-1.637e-04;3.530e-05
"img_0027.png";26;7.994e-04;-2.736e-04;2.127e-05
"img_0028.png";27;7.715e-04;-2.386e-04;2.270e-05
"img_0029.png";28;1.013e-03;-2.520e-04;3.979e-05
"img_0030.png";29;1.143e-03;-2.931e-04;8.392e-05
"img_0031.png";30;1.254e-03;-3.810e-04;2.519e-04
"img_0032.png";31;1.247e-03;-4.001e-04;1.820e-04
"img_0033.png";32;1.105e-03;-3.978e-04;5.510e-05
"img_0034.png";33;1.125e-03;-3.595e-04;-8.239e-05
"img_0035.png";34;1.038e-03;-4.102e-04;-1.358e-04
"img_0036.png";35;1.065e-03;-3.660e-04;-1.139e-04
"img_0037.png";36;1.320e-03;-4.463e-04;-5.724e-05
"img_0038.png";37;1.434e-03;-3.281e-04;5.466e-05
"img_0039.png";38;1.094e-03;-3.661e-04;-7.327e-05
"img_0040.png";39;1.022e-03;-5.010e-04;-1.339e-04
"img_0041.png";40;1.050e-03;-5.547e-04;-2.394e-04
"img_0042.png";41;1.316e-03;-4.764e-04;-1.924e-04
"img_0043.png";42;1.656e-03;-4.223e-04;2.388e-05
"img_0044.png";43;1.268e-03;-2.726e-04;1.937e-06
"img_0045.png";44;1.037e-03;-2.706e-04;-1.243e-04
"img_0046.png";45;1.184e-03;-4.104e-04;-1.481e-04
"img_0047.png";46;1.516e-03;-4.504e-04;-1.660e-04
"img_0048.png";47;1.162e-03;-3.672e-04;-2.225e-04
"img_0049.png";48;1.116e-03;-2.353e-04;-1.555e-04
"img_0050.png";49;1.189e-03;-3.551e-04;-2.229e-04
"img_0051.png";50;1.440e-03;-4.259e-04;-6.605e-05
"img_0052.png";51;1.229e-03;-5.440e-04;-2.468e-04
"img_0053.png";52;1.066e-03;-4.343e-04;-2.853e-04
"img_0054.png";53;1.265e-03;-2.161e-04;-1.856e-04
"img_0055.png";54;1.476e-03;-4.026e-04;-3.247e-05
"img_0056.png";55;1.025e-03;-4.599e-04;-9.076e-05
"img_0057.png";56;1.033e-03;-4.380e-04;-2.711e-04
"img_0058.png";57;1.307e-03;-3.638e-04;-8.595e-05
"img_0059.png";58;1.355e-03;-3.754e-04;-3.127e-05
"img_0060.png";59;1.037e-03;-3.937e-04;-1.280e-04
"img_0061.png";60;9.988e-04;-4.231e-04;-1.908e-04
"img_0062.png";61;1.310e-03;-2.721e-04;3.277e-05
"img_0063.png";62;1.176e-03;-4.513e-04;5.532e-05
"img_0064.png";63;1.044e-03;-4.210e-04;-1.577e-04
"img_0065.png";64;1.167e-03;-5.088e-04;-1.672e-04
"img_0066.png";65;1.469e-03;-4.324e-04;1.082e-04
"img_0067.png";66;1.183e-03;-2.876e-04;1.899e-05
"img_0068.png";67;9.379e-04;-4.273e-04;-2.244e-04
"img_0069.png";68;1.136e-03;-5.205e-04;-1.964e-04
"img_0070.png";69;1.526e-03;-4.818e-04;1.055e-04
"img_0071.png";70;1.255e-03;-4.507e-04;3.639e-05
"img_0072.png";71;9.708e-04;-3.294e-04;-1.876e-04
"img_0073.png";72;1.014e-03;-4.422e-04;-9.536e-05
"img_0074.png";73;1.487e-03;-5.637e-04;1.442e-04
"img_0075.png";74;1.440e-03;-5.330e-04;8.559e-05
"img_0076.png";75;1.193e-03;-5.720e-04;-1.458e-04
"img_0077.png";76;1.015e-03;-3.993e-04;-2.348e-04
"img_0078.png";77;1.031e-03;-5.228e-04;1.567e-04
"img_0079.png";78;1.287e-03;-6.991e-04;-6.221e-05
