Result file;90-02.res
Reference image;img_0001.png
Strain gage;1
Small strain
Position X [pixel];Position Y [pixel]; Orientation; Length [pixel]; Width [pixel]
540.000000;1100.500000;90.000000;115.000000;74.000000
Filename;Step;Longitudinal strain [];Transverse strain [];Shear strain []
img_0002.png;1;2.626e-05;4.220e-05;-3.597e-05
img_0003.png;2;1.656e-04;4.685e-05;-2.388e-05
img_0004.png;3;2.243e-04;1.033e-04;-6.591e-05
img_0005.png;4;1.439e-04;1.041e-04;-5.135e-05
img_0006.png;5;2.337e-04;1.203e-04;-3.039e-05
img_0007.png;6;3.531e-04;7.479e-05;6.656e-06
img_0008.png;7;5.103e-04;6.440e-05;-7.770e-06
img_0009.png;8;6.047e-04;1.022e-05;-5.648e-05
img_0010.png;9;5.793e-04;-5.982e-05;-8.009e-05
img_0011.png;10;4.941e-04;-1.554e-04;-1.051e-04
img_0012.png;11;6.004e-04;-1.490e-04;-9.502e-05
img_0013.png;12;5.905e-04;-1.465e-04;-5.672e-05
img_0014.png;13;6.870e-04;-1.827e-04;-5.198e-05
img_0015.png;14;9.402e-04;-2.017e-04;-5.001e-05
img_0016.png;15;9.619e-04;-2.074e-04;-2.690e-05
img_0017.png;16;7.113e-04;-2.062e-04;-4.916e-05
img_0018.png;17;6.906e-04;-1.817e-04;-2.309e-05
img_0019.png;18;6.955e-04;-1.844e-04;-1.442e-05
img_0020.png;19;9.716e-04;-1.445e-04;-6.392e-05
img_0021.png;20;1.127e-03;-1.683e-04;-1.031e-04
img_0022.png;21;1.014e-03;-2.281e-04;-1.467e-04
img_0023.png;22;1.002e-03;-2.456e-04;-7.722e-05
img_0024.png;23;9.366e-04;-3.264e-04;-6.770e-05
img_0025.png;24;9.920e-04;-3.346e-04;-1.005e-04
img_0026.png;25;1.151e-03;-3.864e-04;-1.268e-04
img_0027.png;26;1.495e-03;-4.692e-04;-8.739e-05
img_0028.png;27;1.306e-03;-5.149e-04;-1.289e-04
img_0029.png;28;1.072e-03;-5.821e-04;-2.650e-04
img_0030.png;29;1.127e-03;-4.721e-04;-1.984e-04
img_0031.png;30;1.240e-03;-4.912e-04;-9.909e-07
img_0032.png;31;1.430e-03;-4.979e-04;1.834e-04
img_0033.png;32;1.428e-03;-5.914e-04;2.977e-05
img_0034.png;33;1.259e-03;-6.864e-04;-2.299e-04
img_0035.png;34;1.211e-03;-7.918e-04;-3.953e-04
img_0036.png;35;1.470e-03;-8.458e-04;-3.298e-04
img_0037.png;36;1.679e-03;-8.662e-04;-2.073e-04
img_0038.png;37;1.346e-03;-8.669e-04;-4.870e-04
img_0039.png;38;1.203e-03;-8.605e-04;-5.291e-04
img_0040.png;39;1.519e-03;-7.871e-04;-1.408e-04
img_0041.png;40;1.341e-03;-8.284e-04;-4.748e-04
img_0042.png;41;1.206e-03;-8.661e-04;-5.375e-04
img_0043.png;42;1.414e-03;-8.688e-04;-2.383e-04
img_0044.png;43;1.317e-03;-7.116e-04;-2.591e-04
img_0045.png;44;1.116e-03;-9.101e-04;-6.349e-04
img_0046.png;45;1.304e-03;-9.335e-04;-3.604e-04
img_0047.png;46;1.343e-03;-8.775e-04;-3.345e-04
img_0048.png;47;1.103e-03;-6.973e-04;-4.578e-04
img_0049.png;48;1.277e-03;-8.875e-04;-2.969e-04
img_0050.png;49;1.316e-03;-8.607e-04;-1.825e-04
img_0051.png;50;1.161e-03;-7.261e-04;-4.613e-04
img_0052.png;51;1.152e-03;-7.513e-04;-2.667e-04
img_0053.png;52;1.283e-03;-7.327e-04;6.126e-05
img_0054.png;53;1.219e-03;-7.100e-04;-2.418e-04
img_0055.png;54;1.041e-03;-7.665e-04;-3.895e-04
img_0056.png;55;1.243e-03;-7.701e-04;-3.224e-05
img_0057.png;56;1.280e-03;-6.431e-04;5.622e-05
img_0058.png;57;1.130e-03;-6.844e-04;-2.967e-04
img_0059.png;58;1.038e-03;-7.787e-04;-2.467e-04
img_0060.png;59;1.411e-03;-7.821e-04;7.491e-05
img_0061.png;60;1.230e-03;-6.926e-04;-2.179e-04
img_0062.png;61;1.055e-03;-7.526e-04;-2.883e-04
img_0063.png;62;1.177e-03;-8.185e-04;-8.057e-05
img_0064.png;63;1.256e-03;-8.065e-04;-1.075e-04
img_0065.png;64;1.165e-03;-7.441e-04;-3.576e-04
img_0066.png;65;1.107e-03;-7.388e-04;-2.059e-04
img_0067.png;66;1.275e-03;-7.822e-04;1.210e-04
img_0068.png;67;1.032e-03;-8.011e-04;-2.955e-04
img_0069.png;68;1.092e-03;-7.757e-04;-4.113e-04
img_0070.png;69;1.339e-03;-7.711e-04;2.395e-05
img_0071.png;70;1.130e-03;-8.457e-04;-3.809e-04
img_0072.png;71;1.062e-03;-9.237e-04;-6.332e-04
img_0073.png;72;1.177e-03;-9.745e-04;-4.745e-04
img_0074.png;73;1.277e-03;-9.414e-04;-3.797e-04
img_0075.png;74;9.950e-04;-1.056e-03;-7.857e-04
img_0076.png;75;1.096e-03;-1.090e-03;-6.954e-04
img_0077.png;76;1.239e-03;-1.133e-03;-4.722e-04
img_0078.png;77;1.018e-03;-9.813e-04;-6.249e-04
img_0079.png;78;9.510e-04;-1.061e-03;-6.655e-04
img_0080.png;79;1.203e-03;-1.015e-03;-4.175e-04
img_0081.png;80;1.143e-03;-9.524e-04;-3.884e-04
img_0082.png;81;9.839e-04;-8.912e-04;-4.989e-04
img_0083.png;82;9.814e-04;-8.533e-04;-3.891e-04
img_0084.png;83;1.289e-03;-8.320e-04;-1.761e-04
img_0085.png;84;9.651e-04;-8.260e-04;-4.037e-04
img_0086.png;85;9.898e-04;-8.771e-04;-3.467e-04
img_0087.png;86;1.183e-03;-9.802e-04;-2.545e-04
img_0088.png;87;9.724e-04;-1.019e-03;-4.777e-04
img_0089.png;88;9.640e-04;-1.084e-03;-6.186e-04
img_0090.png;89;1.135e-03;-1.058e-03;-4.194e-04
img_0091.png;90;1.165e-03;-1.048e-03;-4.337e-04
img_0092.png;91;9.114e-04;-9.932e-04;-6.948e-04
img_0093.png;92;1.004e-03;-1.045e-03;-7.493e-04
img_0094.png;93;1.210e-03;-1.163e-03;-4.806e-04
img_0095.png;94;1.015e-03;-1.096e-03;-7.180e-04
img_0096.png;95;9.168e-04;-1.038e-03;-8.416e-04
img_0097.png;96;1.168e-03;-1.151e-03;-5.780e-04
img_0098.png;97;1.175e-03;-1.140e-03;-6.874e-04
img_0099.png;98;9.321e-04;-1.161e-03;-7.915e-04
img_0100.png;99;1.036e-03;-1.035e-03;-6.509e-04
img_0101.png;100;1.219e-03;-1.121e-03;-5.725e-04
img_0102.png;101;1.009e-03;-1.133e-03;-8.614e-04
img_0103.png;102;9.603e-04;-1.113e-03;-8.346e-04
img_0104.png;103;1.162e-03;-1.084e-03;-5.421e-04
img_0105.png;104;1.026e-03;-1.023e-03;-6.830e-04
img_0106.png;105;9.297e-04;-1.116e-03;-9.105e-04
img_0107.png;106;1.098e-03;-1.207e-03;-6.920e-04
img_0108.png;107;1.936e-03;-1.786e-03;-7.167e-04
img_0109.png;108;2.353e-03;-2.241e-03;-8.764e-04
img_0110.png;109;2.865e-03;-2.576e-03;-7.878e-04
img_0111.png;110;3.620e-03;-2.948e-03;-5.838e-04
img_0112.png;111;3.959e-03;-3.276e-03;-6.911e-04
img_0113.png;112;4.300e-03;-3.624e-03;-8.570e-04
img_0114.png;113;4.949e-03;-3.966e-03;-7.981e-04
img_0115.png;114;5.510e-03;-4.385e-03;-8.560e-04
img_0116.png;115;5.891e-03;-5.012e-03;-1.021e-03
img_0117.png;116;6.870e-03;-5.618e-03;-1.146e-03
img_0118.png;117;8.514e-03;-6.196e-03;-1.136e-03
img_0119.png;118;9.534e-03;-6.943e-03;-1.365e-03
img_0120.png;119;1.070e-02;-7.669e-03;-1.584e-03
img_0121.png;120;1.256e-02;-8.405e-03;-1.692e-03
img_0122.png;121;1.406e-02;-8.954e-03;-1.715e-03
img_0123.png;122;1.558e-02;-9.497e-03;-2.030e-03
img_0124.png;123;1.663e-02;-1.011e-02;-2.073e-03
img_0125.png;124;1.845e-02;-1.078e-02;-2.112e-03
img_0126.png;125;2.026e-02;-1.185e-02;-2.218e-03
img_0127.png;126;2.205e-02;-1.301e-02;-2.331e-03
img_0128.png;127;2.437e-02;-1.403e-02;-2.254e-03
img_0129.png;128;2.589e-02;-1.493e-02;-2.334e-03
img_0130.png;129;2.733e-02;-1.597e-02;-2.493e-03
img_0131.png;130;2.937e-02;-1.700e-02;-2.652e-03
img_0132.png;131;3.115e-02;-1.795e-02;-2.685e-03
img_0133.png;132;3.283e-02;-1.920e-02;-2.918e-03
img_0134.png;133;3.464e-02;-2.052e-02;-3.142e-03
img_0135.png;134;3.632e-02;-2.153e-02;-3.288e-03
img_0136.png;135;3.781e-02;-2.256e-02;-3.340e-03
img_0137.png;136;3.929e-02;-2.354e-02;-3.468e-03
img_0138.png;137;4.096e-02;-2.450e-02;-3.598e-03
img_0139.png;138;4.254e-02;-2.543e-02;-3.622e-03
img_0140.png;139;4.381e-02;-2.627e-02;-3.737e-03
img_0141.png;140;4.512e-02;-2.695e-02;-3.794e-03
img_0142.png;141;4.648e-02;-2.768e-02;-3.788e-03
img_0143.png;142;4.784e-02;-2.833e-02;-3.751e-03
img_0144.png;143;4.898e-02;-2.884e-02;-3.819e-03
img_0145.png;144;5.026e-02;-2.943e-02;-3.824e-03
img_0146.png;145;5.137e-02;-3.004e-02;-3.813e-03
img_0147.png;146;5.195e-02;-3.029e-02;-3.838e-03
img_0148.png;147;5.232e-02;-3.075e-02;-3.764e-03
img_0149.png;148;5.274e-02;-3.097e-02;-3.780e-03
